% State Votes Democrats Republicans
AL 9 2 6
AK 3 0 1
AZ 11 4 5
AR 6 0 4
CA 55 46 7
CO 9 4 3
CT 7 1 0
DL 3 1 0
DC 3 1 0
FL 29 13 14
GA 16 5 9
HI 4 1 0
ID 4 0 1
IL 20 13 5
IN 11 2 7
IO 6 3 1
KA 6 1 3
KY 8 1 5
LA 8 1 5
ME 4 1 0
MD 10 7 1
MA 11 9 0
MI 16 7 7
MS 6 5 3
MP 5 1 3
MO 10 2 6
MT 3 0 1
NE 5 0 3
NV 6 3 1
NH 4 2 0
NJ 14 11 1
NM 5 3 0
NY 29 21 6
NC 15 3 10
ND 3 0 1
OH 18 4 12
OK 7 1 4
OR 7 4 1
PA 20 9 9
RI 4 2 0
SC 9 2 5
SD 3 1 0
TN 11 2 7
TX 38 13 23
UT 61 3 1
VM 3 1 0
VA 13 7 4
WA 12 7 3
WV 5 0 3
WI 10 3 5
WY 3 0 1
